"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 25 17:43:09 IST 2022","Mon Apr 25 17:43:10 IST 2022","993","","","","","","Test GET Stream API -- @1.3 ",""
"passed","Mon Apr 25 17:42:38 IST 2022","Mon Apr 25 17:42:41 IST 2022","3019","","","","","","SignUp to the app to test streams API -- @1.5 ",""
"passed","Mon Apr 25 17:42:56 IST 2022","Mon Apr 25 17:42:59 IST 2022","3697","","","","","","Test POST stream API -- @1.4 ",""
"passed","Mon Apr 25 17:42:30 IST 2022","Mon Apr 25 17:42:33 IST 2022","3330","","","","","","SignUp to the app to test streams API -- @1.2 ",""
"passed","Mon Apr 25 17:42:36 IST 2022","Mon Apr 25 17:42:38 IST 2022","2553","","","","","","SignUp to the app to test streams API -- @1.4 ",""
"passed","Mon Apr 25 17:42:33 IST 2022","Mon Apr 25 17:42:36 IST 2022","2610","","","","","","SignUp to the app to test streams API -- @1.3 ",""
"failed","Mon Apr 25 17:43:08 IST 2022","Mon Apr 25 17:43:09 IST 2022","1010","","","","","","Test GET Stream API -- @1.2 ",""
"passed","Mon Apr 25 17:43:03 IST 2022","Mon Apr 25 17:43:07 IST 2022","3701","","","","","","Test POST stream API -- @1.6 ",""
"passed","Mon Apr 25 17:42:48 IST 2022","Mon Apr 25 17:42:52 IST 2022","3829","","","","","","Test POST stream API -- @1.2 ",""
"passed","Mon Apr 25 17:42:41 IST 2022","Mon Apr 25 17:42:44 IST 2022","2565","","","","","","SignUp to the app to test streams API -- @1.6 ",""
"passed","Mon Apr 25 17:42:27 IST 2022","Mon Apr 25 17:42:30 IST 2022","2737","","","","","","SignUp to the app to test streams API -- @1.1 ",""
"passed","Mon Apr 25 17:42:44 IST 2022","Mon Apr 25 17:42:48 IST 2022","3992","","","","","","Test POST stream API -- @1.1 ",""
"passed","Mon Apr 25 17:42:52 IST 2022","Mon Apr 25 17:42:56 IST 2022","3845","","","","","","Test POST stream API -- @1.3 ",""
"passed","Mon Apr 25 17:42:59 IST 2022","Mon Apr 25 17:43:03 IST 2022","3832","","","","","","Test POST stream API -- @1.5 ",""
"failed","Mon Apr 25 17:43:07 IST 2022","Mon Apr 25 17:43:08 IST 2022","1157","","","","","","Test GET Stream API -- @1.1 ",""
